Player,Team,Jersey_x,SP,K,E,TA,attack_k%,A,SA,SE,RE,DIGS,BS,BA,BE,BHE,points,PTS,O-Rtg,D-Rtg,T-Rtg,Jersey_y,Player_ID
Nate Callihoo,LPK,20,1,1,0,1,1.0,1,0,0,0,1,0,0,0,0,1.0,1.0,1.1,0.5,1.6,20.0,1108.0
Nathan Lazarenko,AMB,20,7,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.07,0.07,10.0,1010.0
Netana Samia,RDP,24,8,5,0,6,1.5,69,2,5,0,10,3,0,0,0,10.0,10.0,1.49,1.0,2.49,12.0,1194.0
Newon Dissee,SAIT,16,2,2,0,3,0.667,0,0,1,0,0,0,0,0,0,2.0,2.0,0.5,0.0,0.5,16.0,1210.0
Nicholas Billo,LPK,19,2,0,0,1,0.0,1,0,1,0,0,2,0,0,0,2.0,2.0,0.55,1.0,1.55,19.0,1107.0
Nicolas Hill,OC,12,16,27,18,52,0.10400000000000001,1,6,7,0,28,5,0,0,0,38.0,38.0,0.82,1.19,2.01,3.0,1166.0
Noah Henson,NAIT,33,3,1,1,4,0.0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,11.0,1142.0
Noah Michalczuk,CUE,2,5,9,4,13,0.69,1,0,4,0,2,0,0,0,0,9.0,9.0,0.22,0.2,0.42,1.0,1037.0
Noah Rigney,KC,18,8,9,3,15,0.75,0,0,3,0,5,3,0,0,0,12.0,12.0,0.75,0.69,1.44,9.0,1058.0
Noah Verhoef,AMB,16,15,41,3,46,1.959,2,3,3,0,21,9,0,0,0,53.0,53.0,3.15,1.3,4.45,4.0,1004.0
Oliver Billyard,LPK,21,1,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0.0,0.0,-1.0,0.0,-1.0,21.0,1109.0
Owen Rasmuson,UAA,18,8,8,5,17,0.34299999999999997,0,1,6,0,2,3,0,0,0,12.0,12.0,0.12,0.5,0.62,9.0,1237.0
Owen Schmidt,NWP,18,10,1,0,1,1.0,52,2,2,0,6,0,0,0,0,3.0,3.0,0.62,0.3,0.92,6.0,1154.0
Owen Stallings,SAIT,15,2,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,15.0,1209.0
Rafael Parada Lima,KC,2,8,22,3,47,0.815,2,2,6,0,19,3,0,0,0,27.0,27.0,2.28,1.56,3.84,1.0,1050.0
Robbie Taylor,UAA,1,2,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1229.0
Robert Bugden,TKU,15,4,1,0,0,0.0,0,0,0,0,1,2,0,0,0,3.0,3.0,0.75,0.62,1.38,15.0,1227.0
Roberto Cherivi Rincon,SAIT,4,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0,1200.0
Ronan Robertson,TKU,39,9,3,1,2,0.0,0,2,0,0,13,0,0,0,0,5.0,5.0,0.44,0.72,1.17,13.0,1225.0
Rowan Irvine,OC,44,13,7,1,6,0.0,0,1,1,0,0,0,0,0,0,8.0,8.0,0.46,0.0,0.46,11.0,1174.0
Rowan Nykolshyn,MHC,14,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,14.0,1127.0
Rylan Kelndorfer,UAA,10,8,11,2,26,0.649,0,1,7,0,10,0,0,0,0,12.0,12.0,0.38,0.62,1.0,5.0,1233.0
Rylan Schebesch,SAIT,20,1,0,0,0,0.0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.0,0.2,2.0,1199.0
Rylan Teasdale,RDP,32,7,6,4,14,0.16699999999999998,1,0,3,0,1,7,0,0,0,13.0,13.0,0.87,1.07,1.94,16.0,1197.0
Rylan Young,NWP,10,3,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.0,1153.0
Sean Finnigan,OC,18,9,9,1,1,-1.0,1,1,0,0,11,3,0,0,0,13.0,13.0,1.34,0.94,2.29,6.0,1169.0
Sean Kaliel,UAA,14,6,11,0,24,0.93,0,0,1,0,12,0,0,0,0,11.0,11.0,1.67,1.0,2.67,7.0,1235.0
Sean Vanderzee,OC,48,15,4,1,7,0.6,111,1,4,0,18,3,0,0,0,8.0,8.0,0.94,0.8,1.74,12.0,1175.0
Sebastian Hoekstra,TKU,16,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,16.0,1228.0
Seth Gill,KC,34,4,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,17.0,1066.0
Spencer Grant,CUE,22,6,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.02,0.0,0.02,11.0,1047.0
Spencer Hinz,AMB,6,2,0,0,0,0.0,0,1,1,0,1,0,0,0,0,1.0,1.0,0.0,0.25,0.25,6.0,1006.0
Talen Giraudier,MHC,16,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,16.0,1129.0
Tanner Bean,BC,8,2,1,0,0,0.0,1,0,0,0,0,1,0,0,0,2.0,2.0,1.05,0.5,1.55,8.0,1025.0
Tanner Johnson,TKU,18,4,1,2,4,-0.25,0,0,0,0,1,0,0,0,0,1.0,1.0,-0.25,0.12,-0.12,9.0,1222.0
Tim Ebbs,KC,12,8,19,2,40,0.787,3,1,7,0,12,3,0,0,0,23.0,23.0,1.79,1.12,2.91,6.0,1055.0
Tino Kwatara,TKU,42,6,7,3,11,0.273,0,0,2,1,0,3,0,0,0,10.0,10.0,0.83,0.33,1.17,14.0,1226.0
Titus Acson,TKU,9,9,20,7,50,0.404,2,2,4,2,10,2,0,0,0,24.0,24.0,1.47,0.56,2.02,3.0,1216.0
Tristan Iwanczuk,LPK,17,3,1,0,2,0.5,0,0,0,0,0,1,0,0,0,2.0,2.0,0.67,0.33,1.0,17.0,1106.0
Trysten Kim,OC,11,14,0,2,2,-1.0,0,0,0,0,16,0,0,0,0,0.0,0.0,-0.14,0.57,0.43,5.0,1168.0
Tyce Dayman,CUE,6,6,4,3,8,0.6,2,3,6,0,0,0,0,0,0,7.0,7.0,-0.3,0.0,-0.3,3.0,1039.0
Tyler Fredlund,TKU,12,12,18,17,40,-0.32199999999999995,2,5,2,0,6,2,0,0,0,25.0,25.0,0.52,0.42,0.93,4.0,1217.0
Victor Reis,OC,56,17,49,11,53,0.587,0,5,11,1,18,4,0,0,0,58.0,58.0,2.12,0.71,2.82,14.0,1177.0
Wil Martin,NWP,8,1,0,0,2,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,8.0,1156.0
William Reininger,MHC,22,8,19,7,30,0.8,3,4,3,0,12,4,0,0,0,27.0,27.0,2.16,1.25,3.41,11.0,1124.0
Wizdom Smith,RDP,4,1,2,0,2,1.0,0,0,1,0,0,0,0,0,0,2.0,2.0,1.0,0.0,1.0,4.0,1186.0
Zach Fernandez,CUE,8,3,1,0,1,1.0,0,0,1,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,4.0,1040.0
Zachary Neufeld,RDP,2,8,9,3,23,0.47800000000000004,1,2,2,0,6,0,0,0,0,11.0,11.0,0.76,0.38,1.14,1.0,1183.0
