game_id,team_name,jersey_no,player_name,sets_played,attack_kills,attack_errors,attack_total_attempts,attack_k%,setting_assists,serve_aces,serve_errors,reception_erros,digs,block_single,block_assists,block_errors,ball_handling_errors,points
2025_10_24_KCvNWP,KC,1,Adyson Wilson *,3,1,3,10,-0.2,1,0,1,0,5,0,0,0,0,1
2025_10_24_KCvNWP,KC,2,Klara Kubicka,2,0,0,0,0,1,0,0,0,4,0,0,0,0,0
2025_10_24_KCvNWP,KC,3,Drew Jacobson,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_10_24_KCvNWP,KC,4,Gabrielle Buffong,1,5,1,8,0.5,0,0,1,0,0,0,0,0,0,5
2025_10_24_KCvNWP,KC,6,Jordi Hazen,3,0,0,0,0,1,1,0,0,0,0,0,0,0,1
2025_10_24_KCvNWP,KC,7,Erika Box *,3,5,2,11,0.273,17,0,2,0,7,2,0,0,0,7
2025_10_24_KCvNWP,KC,10,Rory Bell,3,0,0,1,0,1,0,0,0,13,0,0,0,0,0
2025_10_24_KCvNWP,KC,11,Milan Schapowal *,3,6,1,11,0.455,0,2,4,0,0,1,0,0,0,9
2025_10_24_KCvNWP,KC,13,Taya McCarthy *,3,2,5,15,-0.2,0,2,3,0,3,0,0,0,0,4
2025_10_24_KCvNWP,KC,14,Payton Hollinger *,3,1,2,6,-0.167,0,1,1,0,4,0,0,0,0,2
2025_10_24_KCvNWP,KC,17,Amanda Onyeukwu *,3,6,2,13,0.308,0,1,1,0,7,0,0,0,0,7
2025_10_24_KCvNWP,NWP,1,Sierra LaValley,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2025_10_24_KCvNWP,NWP,2,Sophia Smoke,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2025_10_24_KCvNWP,NWP,3,Reese Holman,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_10_24_KCvNWP,NWP,4,Alexa Hryciuk,1,0,2,2,-1,0,0,0,0,0,0,0,0,0,0
2025_10_24_KCvNWP,NWP,6,Avery Hucker,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0
2025_10_24_KCvNWP,NWP,9,Harshpreet Dhaliwal *,3,9,4,20,0.25,0,1,3,0,3,3,0,0,0,13
2025_10_24_KCvNWP,NWP,10,Savannah Lambert *,3,2,0,5,0.4,0,0,2,0,1,0,0,0,0,2
2025_10_24_KCvNWP,NWP,11,Josie Lund *,3,4,0,7,0.571,0,1,3,0,0,3,0,0,0,8
2025_10_24_KCvNWP,NWP,12,Haley Demmans *,3,6,2,15,0.267,0,0,4,0,3,0,0,0,0,6
2025_10_24_KCvNWP,NWP,13,Helaina Zeyha *,3,17,2,28,0.536,0,2,1,0,2,0,0,0,0,19
2025_10_24_KCvNWP,NWP,15,Gillian Head *,3,0,0,0,0,32,0,2,0,6,0,0,0,0,0
2025_10_24_KCvNWP,NWP,16,Gabrielle Capelle,3,0,0,0,0,1,0,0,0,16,0,0,0,0,0
