game_id,team_name,jersey_no,player_name,sets_played,attack_kills,attack_errors,attack_total_attempts,attack_k%,setting_assists,serve_aces,serve_errors,reception_erros,digs,block_single,block_assists,block_errors,ball_handling_errors,points
2025_10_25_KCvNWP,KC,1,Rafael Parada Lima *,4,10,1,25,0.36,2,1,2,0,9,2,0,0,0,13
2025_10_25_KCvNWP,KC,2,Kaylen Desmarais-Joseph,4,0,0,1,0,1,0,0,0,10,0,0,0,0,0
2025_10_25_KCvNWP,KC,3,Arthur Alves Genes Silveira *,4,18,4,34,0.412,0,0,3,0,11,0,0,0,0,18
2025_10_25_KCvNWP,KC,6,Tim Ebbs *,4,14,1,25,0.52,2,1,2,0,7,1,0,0,0,16
2025_10_25_KCvNWP,KC,8,Kai Rosnau *,4,3,0,8,0.375,39,3,2,0,8,1,0,0,0,7
2025_10_25_KCvNWP,KC,9,Noah Rigney *,4,7,1,8,0.75,0,0,0,0,1,2,0,0,0,9
2025_10_25_KCvNWP,KC,10,Gage Weinrauch,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2025_10_25_KCvNWP,KC,11,Mike Yole,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_10_25_KCvNWP,KC,17,Seth Gill,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_10_25_KCvNWP,KC,18,Logan Boucher *,4,3,0,8,0.375,0,2,1,0,1,4,0,0,0,9
2025_10_25_KCvNWP,NWP,1,Jeremy Kriletich *,4,15,0,20,0.75,1,0,2,0,3,4,0,0,0,19
2025_10_25_KCvNWP,NWP,2,Keon Smith,4,0,0,0,0,0,0,0,0,10,0,0,0,0,0
2025_10_25_KCvNWP,NWP,6,Owen Schmidt *,4,1,0,1,1,39,2,2,0,4,0,0,0,0,3
2025_10_25_KCvNWP,NWP,7,Jeremy Weaver,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2025_10_25_KCvNWP,NWP,8,Wil Martin,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2025_10_25_KCvNWP,NWP,10,Josh Dumont *,4,16,0,25,0.64,1,1,3,0,6,1,0,0,0,18
2025_10_25_KCvNWP,NWP,11,Cooper Paulovich *,4,6,4,21,0.095,0,0,3,0,6,0,0,0,0,6
2025_10_25_KCvNWP,NWP,12,Caleb Lockington *,4,3,1,9,0.222,0,0,1,0,1,2,0,0,0,5
2025_10_25_KCvNWP,NWP,13,Carter Tuttle,2,0,0,0,0,3,0,2,0,3,0,0,0,0,0
2025_10_25_KCvNWP,NWP,14,Lincoln Fehr,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2025_10_25_KCvNWP,NWP,15,Justice Bigstone *,4,8,0,11,0.727,0,0,0,0,0,4,0,0,0,12
